Content,Emotion_predicted
My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the b,relief
This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their,sadness
Interacted with heads of our Missions abroad on the COVID 19 situation We discussed many issues including ways to,happiness
In our country social organisations have a very important role in ensuring positive changes in society Today I in,worry
Not a joke folks we just launched our new podcast It s called Here s the Deal For our first episode I sat do,fun
I have COVID 19 I lost my smell and taste for weeks among other symptoms Luckily I am over the hump and on the m,neutral
Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the,fun
PBS NPR took 75M from the emergency 2 trillion bill This is what America did NOT get because of PBS NPR 300 00,worry
I just received awful news My Uncle Tommy Ghant died from COVID 19 in Michigan this morning I saw Uncle Tommy 3 m,worry
Dr James T Goodrich a neurosurgeon who led multiple separations of conjoined twins died Monday after complicati,relief
I know these are confusing and scary times so for the first episode of our new podcast I sat down with Ron Klain,worry
CNN Dr James T Goodrich the neurosurgeon who allowed CNN inside a remarkable operation to separate twins Jadon,neutral
DI Council grants waiver to allow additional eligibility for spring sport athletes whose seasons were impacted by C,happiness
CNN Health Pharmaceutical giant Johnson amp Johnson announced on Monday that it plans to initiate human clinical tri,fun
1 2 We ll never stop shining for you Starting tonight through the COVID 19 battle our signature white lights,fun
Interacted with heads of our Missions abroad on the COVID 19 situation We discussed many issues including ways to,happiness
In our country social organisations have a very important role in ensuring positive changes in society Today I in,worry
Not a joke folks we just launched our new podcast It s called Here s the Deal For our first episode I sat do,fun
I have COVID 19 I lost my smell and taste for weeks among other symptoms Luckily I am over the hump and on the m,neutral
Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the,fun
PBS NPR took 75M from the emergency 2 trillion bill This is what America did NOT get because of PBS NPR 300 00,worry
I just received awful news My Uncle Tommy Ghant died from COVID 19 in Michigan this morning I saw Uncle Tommy 3 m,worry
Dr James T Goodrich a neurosurgeon who led multiple separations of conjoined twins died Monday after complicati,relief
I know these are confusing and scary times so for the first episode of our new podcast I sat down with Ron Klain,worry
CNN Dr James T Goodrich the neurosurgeon who allowed CNN inside a remarkable operation to separate twins Jadon,neutral
CNN Health Pharmaceutical giant Johnson amp Johnson announced on Monday that it plans to initiate human clinical tri,fun
If you want to understand the science behind COVID 19 and the reasons for actions like social distancing then leadi,neutral
Amazon workers in Staten Island New York are walking off the job to protest the company s handling of the COVID 1,neutral
Bodies of all those who died of COVID 19 will be cremated irrespective of their religion BMC chief,happiness
Delhi s Nizamuddin area 200 people taken for COVID 19 test as 7 people tested ve Police cordoned off entire a,happiness
In our country social organisations have a very important role in ensuring positive changes in society Today I in,worry
Not a joke folks we just launched our new podcast It s called Here s the Deal For our first episode I sat do,fun
Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the,fun
CNN Health Pharmaceutical giant Johnson amp Johnson announced on Monday that it plans to initiate human clinical tri,fun
Bodies of all those who died of COVID 19 will be cremated irrespective of their religion BMC chief,happiness
Reliance Industries announces Rs 500 crore contribution to PMCARES Fund In addition to its multi pronged on the gr,worry
BREAKING A painting by Vincent van Gogh was stolen overnight from a Dutch museum closed for the COVID 19 epidemic,worry
Yogi Govt takes over Hyatt Marriott other Lucknow 5 star hotels to lodge medical staff fighting Covid 19,happiness
NEW from me several Republican AG offices confirmed to me that the COVID 19 outbreak hasn t changed their plans to,worry
JNJ announces a lead COVID19 vaccine candidate plus a landmark partnership with to together commit over 1,neutral
JUST IN Indian Govt to order 10 000 ventilators from Chinese suppliers CoronaUpdate Covid 19,worry
Social organisations are embodiments of compassion They have a deep rooted connect with people and they are at the,worry
When was promising COVID would go away like a miracle the U S government squandered its best ch,worry
250 tests a day in Houston The city s efforts to expand testing were dealt a blow Saturday when the federal g,sadness
In partnership with the White House and has released a COVID19 app to help you stay inform,fun
Not a joke folks we just launched our new podcast It s called Here s the Deal For our first episode I sat do,fun
Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the,fun
Yogi Govt takes over Hyatt Marriott other Lucknow 5 star hotels to lodge medical staff fighting Covid 19,happiness
JNJ announces a lead COVID19 vaccine candidate plus a landmark partnership with to together commit over 1,neutral
JUST IN Indian Govt to order 10 000 ventilators from Chinese suppliers CoronaUpdate Covid 19,worry
250 tests a day in Houston The city s efforts to expand testing were dealt a blow Saturday when the federal g,sadness
Johnson amp Johnson is one of several companies that has developed a potential coronavirus vaccine CEO and Chairman,neutral
NEW My and deep dive into Congress Covid 19 response from a Jan 24th briefing attended by only,worry
A human disaster is about to happen in Lesbos where there is a big risk of Covid 19 spreading Europe needs to hel,neutral
One of DOH s strategies to combat the threat of COVID 19 is to enhance and expand our country s testing capabiliti,neutral
I strongly encourage Marylanders to tune in today at 10 45 a m for additional announcements regarding COVID 19 in,worry
I will address the country today at 8pm offering an update on the status of the Covid 19 pandemic and what more me,worry
Meanwhile in The team takes a moment to entertain the people coming to get checked at a,sadness
Trump knew about covid 19 in January,happiness
Was ShehnaazGill the best BB13 captain RT and LIKE if YES COMMENT if NO To find out watch BiggBoss AGAIN on,worry
250 tests a day in Houston The city s efforts to expand testing were dealt a blow Saturday when the federal g,sadness
I strongly encourage Marylanders to tune in today at 10 45 a m for additional announcements regarding COVID 19 in,worry
Meanwhile in The team takes a moment to entertain the people coming to get checked at a,sadness
Why we should all wear masks There s now a robust scientific basis for putting an end to the officials anti surgi,neutral
On March 10 as the president said the US had the virus under control a choir group decided to hold its practice,worry
Help us fight the Covid 19 hurdle together by participating in the United Against COVID 19 Innovation Challenge La,happiness
San Miguel buying P500 million worth of protective gear for COVID 19 frontliners,neutral
KingSalman of SaudiArabia issues a Royal Decree to treat All citizens expats amp even IllegalAliens Immigrants o,fun
I wrote this article last week calling on the Government to stop giving a misleading impression on the number of Co,worry
A 101 year old Italian man who was born during the Spanish Flu Pandemic of 1918 1919 has recently been released fr,worry
STPINEWS While lauding the spirit of STPIINDIA employees who have voluntarily contributed 1 day salary to,neutral
Struggling during COVID19 Please reach out for help Call Spanish 1 888 628 9454 or text PA to,worry
JUST IN 35 new cases of COVID19 infection in Singapore 3 new clusters found,fun
Starting today free food is available for anyone who needs it You can pick up one box per household and that wil,sadness
Today on Land Day and the 2nd anniversary of Gaza s Great March of Return we mark decades of resistance to Israel,relief
I strongly encourage Marylanders to tune in today at 10 45 a m for additional announcements regarding COVID 19 in,worry
Why we should all wear masks There s now a robust scientific basis for putting an end to the officials anti surgi,neutral
On March 10 as the president said the US had the virus under control a choir group decided to hold its practice,worry
I wrote this article last week calling on the Government to stop giving a misleading impression on the number of Co,worry
A 101 year old Italian man who was born during the Spanish Flu Pandemic of 1918 1919 has recently been released fr,worry
STPINEWS While lauding the spirit of STPIINDIA employees who have voluntarily contributed 1 day salary to,neutral
Struggling during COVID19 Please reach out for help Call Spanish 1 888 628 9454 or text PA to,worry
Phishing attacks appear to be surging during the COVID 19 pandemic as fraudsters capitalize on vulnerabilities stem,worry
The biggest mistake every single government around the world made is sent the message that only old people die from,worry
Our NHS staff and carers urgently need more protective equipment and testing for coronavirus These heroes work,worry
A group of local architects and engineers is working to build emergency hospitals for coronavirus disease patients,neutral
Parents This will help your children LearnAtHome We are so grateful to Ohio s PBS stations and everyone invo,worry
Here is the latest from on how coronavirus is transmitted WHO continues to recommend airborne precautions,worry
STPINEWS While its employees voluntarily contribute 1 day salary to PMCARES Fund amounting to Rs 15 48 lakh,worry
The policeman directed them to repeat each sentence he said Say that We re enemies of the society the policem,worry
Why we should all wear masks There s now a robust scientific basis for putting an end to the officials anti surgi,neutral
I wrote this article last week calling on the Government to stop giving a misleading impression on the number of Co,worry
STPINEWS While lauding the spirit of STPIINDIA employees who have voluntarily contributed 1 day salary to,neutral
Struggling during COVID19 Please reach out for help Call Spanish 1 888 628 9454 or text PA to,worry
